L1,L2,L3,Link
Electronics,Computer Accessories,External Hard Disks,https://www.flipkart.com/external-hard-disk-store?otracker=nmenu_sub_Electronics_0_External%20Hard%20Disks
Electronics,Computer Accessories,Pendrives,"https://www.flipkart.com/computers/storage/pen-drives/pr?sid=6bo,jdy,uar&otracker=nmenu_sub_Electronics_0_Pendrives"
Electronics,Computer Accessories,Laptop Skins & Decals,"https://www.flipkart.com/laptop-accessories/laptop-skins-decals/pr?sid=6bo,ai3,zvm&otracker=nmenu_sub_Electronics_0_Laptop%20Skins%20%26%20Decals"
Electronics,Computer Accessories,Laptop Bags,https://www.flipkart.com/laptop-accessories/laptop-bags/pr?sid=6bo%2Cai3%2Cqq9&otracker=nmenu_sub_Electronics_0_Laptop%20Bags
Electronics,Computer Accessories,Mouse,"https://www.flipkart.com/laptop-accessories/mouse/pr?sid=6bo,ai3,2ay&otracker=nmenu_sub_Electronics_0_Mouse"
Electronics,Computer Peripherals,Printers & Ink Cartridges,https://www.flipkart.com/printer-inks-store?otracker=nmenu_sub_Electronics_0_Printers%20%26%20Ink%20Cartridges
Electronics,Computer Peripherals,Monitors,https://www.flipkart.com/monitors-store?otracker=nmenu_sub_Electronics_0_Monitors
Electronics,Tablets,Apple iPads,"https://www.flipkart.com/tablets/~apple-ipads/pr?sid=tyy,hry&otracker=nmenu_sub_Electronics_0_Apple%20iPads"
Electronics,Tablets,Televisions,https://www.flipkart.com/television-store?otracker=nmenu_sub_Electronics_0_Televisions
Electronics,Speakers,Home Audio Speakers,https://www.flipkart.com/audio-video/speakers/pr?count=40&otracker=categorytree&p%5B%5D=facets.type%255B%255D%3DHome%2BAudio%2BSpeaker&p%5B%5D=facets.type%255B%255D%3DLaptop%252FDesktop%2BSpeaker&p%5B%5D=facets.type%255B%255D%3DSoundbar&sid=0pm%2F0o7&otracker=nmenu_sub_Electronics_0_Home%20Audio%20Speakers
Electronics,Speakers,Home Theatres,https://www.flipkart.com/audio-video/speakers/pr?sid=0pm%2C0o7&otracker=categorytree&p%5B%5D=facets.type%255B%255D%3DHome%2BTheatre&p%5B%5D=facets.type%255B%255D%3DTower%2BSpeaker&p%5B%5D=facets.type%255B%255D%3DSoundbar&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=nmenu_sub_Electronics_0_Home%20Theatres
Electronics,Speakers,Soundbars,https://www.flipkart.com/audio-video/speakers/pr?sid=0pm%2C0o7&p%5B%5D=facets.type%255B%255D%3DSoundbar&otracker=categorytree&p%5B%5D=facets.serviceability%5B%5D%3Dtrue&p%5B%5D=facets.fulfilled_by%255B%255D%3DFlipkart%2BAssured&otracker=nmenu_sub_Electronics_0_Soundbars
Electronics,Speakers,Bluetooth Speakers,https://www.flipkart.com/audio-video/speakers/pr?sid=0pm%2C0o7&otracker=categorytree&p%5B%5D=facets.features%255B%255D%3DBluetooth&otracker=nmenu_sub_Electronics_0_Bluetooth%20Speakers
Electronics,Speakers,DTH Set Top Box,https://www.flipkart.com/home-entertainment/dth/pr?count=40&otracker=categorytree&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&sid=ckf%2F9wn&otracker=nmenu_sub_Electronics_0_DTH%20Set%20Top%20Box
Electronics,Smart Home Automation,Google Nest,https://www.flipkart.com/google-nest-mini-store?otracker=nmenu_sub_Electronics_0_Google%20Nest
Electronics,Camera,DSLR & Mirrorless,https://www.flipkart.com/cameras/dslr~type/pr?sid=jek%2Cp31&otracker=nmenu_sub_Electronics_0_DSLR%20%26%20Mirrorless
Electronics,Camera,Compact & Bridge Cameras,https://www.flipkart.com/cameras/point-shoot~type/pr?sid=jek%2Cp31&otracker=nmenu_sub_Electronics_0_Compact%20%26%20Bridge%20Cameras
Electronics,Camera,Sports & Action,https://www.flipkart.com/cameras/sports-action/pr?count=40&sid=jek%2Fp31%2Fs3q&otracker=nmenu_sub_Electronics_0_Sports%20%26%20Action
Electronics,Camera Accessories,Lens,https://www.flipkart.com/camera-accessories/camera-lenses/pr?uniqueBstoreparam1=val1&sid=jek%2C6l2%2Ce9y&otracker=nmenu_sub_Electronics_0_Lens
Electronics,Camera Accessories,Tripods,https://www.flipkart.com/camera-accessories/tripods/pr?count=40&otracker=categorytree&p%5B%5D=sort%3Dpopularity&sid=jek%2F6l2%2Fce6&otracker=nmenu_sub_Electronics_0_Tripods
Electronics,Network Components,Routers,https://www.flipkart.com/computers/network-components/routers/pr?sid=6bo%2F70k%2F2a2&otracker=nmenu_sub_Electronics_0_Routers
Electronics,Featured,Google Assistant Store,https://www.flipkart.com/google-assistant-122019-store?otracker=nmenu_sub_Electronics_0_Google%20Assistant%20Store
Electronics,Featured,Laptops on Buyback Guarantee,https://www.flipkart.com/laptops/~buyback-guarantee-on-laptops-/pr?sid=6bo%2Cb5g&otracker=nmenu_sub_Electronics_0_Laptops%20on%20Buyback%20Guarantee
Electronics,Featured,Flipkart SmartBuy,https://www.flipkart.com/flipkart-smartbuy-store?otracker=nmenu_sub_Electronics_0_Flipkart%20SmartBuy
Electronics,Featured,Li-Polymer Power Banks,https://www.flipkart.com/lithium-polymer-power-banks-store?otracker=nmenu_sub_Electronics_0_Li-Polymer%20Power%20Banks
Electronics,Featured,Sony PS4 Pro & Slim,https://www.flipkart.com/games/~sony-play-station/pr?facets.availability=Exclude%20Out%20of%20Stock&sid=4rr%2Ctg9&p%5B%5D=facets.filter_standard%255B%255D%3D1&facets.availability[]=Exclude+Out+of+Stock&otracker=nmenu_sub_Electronics_0_Sony%20PS4%20Pro%20%26%20Slim
Electronics,Featured,Apple Products,https://www.flipkart.com/apple-products-store?otracker=nmenu_sub_Electronics_0_Apple%20Products
Electronics,Featured,Microsoft Store,https://www.flipkart.com/microsoft-store?otracker=nmenu_sub_Electronics_0_Microsoft%20Store
